,abl,abstract,access,act,add,algorithm,allow,also,anoth,appear,applic,appropri,avoid,becom,behavior,call,can,case,chang,class,client,code,combin,common,complex,compos,concret,consid,contain,correspond,creat,data,declar,defin,depend,describ,design,diagram,differ,display,document,draw,editor,encapsul,even,everi,exampl,extend,extens,first,flexibl,follow,forward,function,general,get,give,graphic,hierarchi,implement,includ,independ,inform,initi,instanc,instanti,intent,interfac,just,keep,key,kind,know,larg,let,like,made,maintain,make,manag,mani,may,might,modifi,motiv,multipl,must,need,new,number,object,often,one,open,oper,part,particular,pass,pattern,perform,possibl,present,problem,provid,put,refer,relationship,replac,repres,represent,request,requir,respons,result,return,reus,runtim,see,select,separ,set,sever,share,simpl,simpli,solut,specif,specifi,state,store,structur,subclass,support,suppos,system,text,therebi,therefor,time,toolkit,two,use,user,usual,vari,want,way,whenev,will,window,without,work
1,0,-4.650883738,0,0,0,0,0,-2.851676308,0,-1.79920743,-3.59841486,-1.79920743,0,0,-1.79920743,-1.79920743,-1.79920743,0,-1.79920743,-6.450091168,-4.650883738,0,0,0,0,-1.79920743,-5.051013835,-1.79920743,0,-1.79920743,-4.650883738,0,-1.79920743,-3.59841486,-2.851676308,0,-1.79920743,0,-2.851676308,0,0,0,-1.79920743,0,0,0,-1.79920743,0,0,0,0,0,0,0,0,0,0,0,0,-4.17763028,0,-2.851676308,0,0,-1.79920743,-2.851676308,-1.79920743,-5.703352615,-1.79920743,0,0,-2.851676308,0,0,0,-1.79920743,0,0,-1.79920743,-2.851676308,0,0,0,0,-1.79920743,-2.851676308,0,-1.79920743,-1.79920743,0,-3.59841486,0,-1.79920743,0,-4.650883738,0,-3.59841486,0,-1.79920743,0,0,-2.851676308,-1.79920743,-2.851676308,0,0,0,0,-1.79920743,0,0,0,0,0,-3.59841486,0,0,0,0,0,0,0,0,0,0,0,-1.79920743,-1.79920743,0,0,0,-3.59841486,-1.79920743,0,-2.851676308,-1.79920743,0,0,0,-1.79920743,0,-4.650883738,-2.851676308,0,0,-2.851676308,0,0,0,-1.79920743,-1.79920743,0
2,-3.504934683,-15.63001655,0,0,0,0,0,0,-3.504934683,0,-7.009869366,0,-3.504934683,0,0,0,-7.009869366,-5.55519004,0,-13.34453032,-11.64314099,-9.060124723,-3.504934683,0,0,0,-7.009869366,-3.504934683,0,0,-7.009869366,0,0,-7.009869366,-5.55519004,0,0,-3.504934683,-8.138206311,0,0,0,0,0,0,-5.55519004,-9.060124723,-7.009869366,-3.504934683,-3.504934683,-3.504934683,0,0,0,-3.504934683,0,0,0,-9.060124723,-16.66557012,0,-8.138206311,0,0,0,-5.55519004,-3.504934683,-9.839595634,0,0,0,-7.009869366,0,0,-5.55519004,0,0,0,-8.138206311,-3.504934683,0,0,-3.504934683,-3.504934683,-5.55519004,-5.55519004,-3.504934683,-3.504934683,-7.009869366,0,-8.138206311,0,-5.55519004,0,-5.55519004,-3.504934683,0,0,-7.009869366,0,-3.504934683,-3.504934683,-3.504934683,-3.504934683,-3.504934683,-7.009869366,-3.504934683,0,0,-5.55519004,0,-3.504934683,0,0,0,-3.504934683,-3.504934683,0,-3.504934683,-5.55519004,0,-3.504934683,-5.55519004,-3.504934683,0,0,-5.55519004,0,0,0,0,-10.51480405,-5.55519004,0,-5.55519004,0,0,-3.504934683,0,-3.504934683,-9.060124723,-9.060124723,-3.504934683,-3.504934683,-5.55519004,-7.009869366,-5.55519004,-3.504934683,0,-16.66557012,-5.55519004,-3.504934683
3,-3.504934683,-15.63001655,0,0,0,0,0,0,-3.504934683,0,-7.009869366,0,-3.504934683,0,0,0,-7.009869366,-5.55519004,0,-13.34453032,-11.64314099,-9.060124723,-3.504934683,0,0,0,-7.009869366,-3.504934683,0,0,-7.009869366,0,0,-7.009869366,-5.55519004,0,0,-3.504934683,-8.138206311,0,0,0,0,0,0,-5.55519004,-9.060124723,-7.009869366,-3.504934683,-3.504934683,-3.504934683,0,0,0,-3.504934683,0,0,0,-9.060124723,-16.66557012,0,-8.138206311,0,0,0,-5.55519004,-3.504934683,-9.839595634,0,0,0,-7.009869366,0,0,-5.55519004,0,0,0,-8.138206311,-3.504934683,0,0,-3.504934683,-3.504934683,-5.55519004,-5.55519004,-3.504934683,-3.504934683,-7.009869366,0,-8.138206311,0,-5.55519004,0,-5.55519004,-3.504934683,0,0,-7.009869366,0,-3.504934683,-3.504934683,-3.504934683,-3.504934683,-3.504934683,-7.009869366,-3.504934683,0,0,-5.55519004,0,-3.504934683,0,0,0,-3.504934683,-3.504934683,0,-3.504934683,-5.55519004,0,-3.504934683,-5.55519004,-3.504934683,0,0,-5.55519004,0,0,0,0,-10.51480405,-5.55519004,0,-5.55519004,0,0,-3.504934683,0,-3.504934683,-9.060124723,-9.060124723,-3.504934683,-3.504934683,-5.55519004,-7.009869366,-5.55519004,-3.504934683,0,-16.66557012,-5.55519004,-3.504934683
4,-1.780540483,-1.780540483,0,0,-1.780540483,-3.561080965,-1.780540483,0,-1.780540483,0,-1.780540483,0,0,0,0,-2.822089896,-2.822089896,0,0,-3.561080965,0,0,0,0,-4.134286971,0,0,0,0,0,-4.602630379,-1.780540483,0,0,0,0,0,0,-4.602630379,0,-4.602630379,0,0,0,0,0,-2.822089896,0,0,0,0,0,0,0,0,-1.780540483,0,0,0,-1.780540483,0,-1.780540483,-1.780540483,0,0,0,-1.780540483,-2.822089896,0,0,0,-1.780540483,0,0,-2.822089896,0,0,0,-1.780540483,0,-1.780540483,0,-1.780540483,-1.780540483,-1.780540483,0,-1.780540483,0,-1.780540483,-1.780540483,-5.644179792,0,0,0,-1.780540483,-1.780540483,-1.780540483,0,-4.134286971,-2.822089896,-1.780540483,0,-1.780540483,0,-1.780540483,0,-1.780540483,0,-2.822089896,-4.998609088,-3.561080965,0,-2.822089896,0,0,-1.780540483,0,-1.780540483,0,-3.561080965,0,0,0,0,0,-1.780540483,0,0,0,0,0,-2.822089896,0,0,0,-5.914827453,0,0,0,0,0,-2.822089896,-2.822089896,0,0,0,0,-1.780540483,-2.822089896,0,-1.780540483,0
5,0,0,-2.086705961,0,0,0,0,0,0,0,-4.173411923,0,-2.086705961,0,0,0,-6.614701398,-2.086705961,0,-5.39405666,-2.086705961,0,0,-2.086705961,0,0,0,-2.086705961,-2.086705961,-2.086705961,0,0,0,-3.307350699,-3.307350699,0,0,-3.307350699,-2.086705961,-2.086705961,0,0,0,0,0,0,-3.307350699,0,0,-2.086705961,0,-2.086705961,-4.845181197,0,-3.307350699,-2.086705961,-2.086705961,-2.086705961,0,-2.086705961,0,0,-4.845181197,-3.307350699,-2.086705961,0,-2.086705961,-4.173411923,-2.086705961,0,0,0,-2.086705961,0,0,0,-2.086705961,0,0,0,0,-2.086705961,-3.307350699,0,-2.086705961,-2.086705961,0,-2.086705961,0,0,-8.529333078,0,-5.858124251,0,-3.307350699,-4.173411923,0,-3.307350699,-3.307350699,0,0,0,-2.086705961,-4.173411923,0,-2.086705961,0,0,0,0,-9.16547495,0,-3.307350699,0,0,0,0,-2.086705961,-2.086705961,0,-2.086705961,-3.307350699,-2.086705961,0,0,0,-2.086705961,0,0,0,0,-2.086705961,0,0,-3.307350699,0,0,0,0,0,0,-4.173411923,-3.307350699,0,0,-3.307350699,-2.086705961,0,-2.086705961,-2.086705961,0,0
6,0,-5.297338197,0,0,-3.342248283,0,-3.342248283,-6.684496566,0,0,-10.02674485,0,0,0,0,-7.760460189,-12.72512545,-3.342248283,-6.684496566,-8.63958648,0,0,0,-6.684496566,0,-3.342248283,-6.684496566,0,0,-3.342248283,-3.342248283,-3.342248283,-3.342248283,-5.297338197,0,0,-3.342248283,0,-7.760460189,0,-10.02674485,0,0,-5.297338197,0,0,-7.760460189,-3.342248283,0,0,-3.342248283,0,-3.342248283,-5.297338197,0,0,-3.342248283,0,0,-6.684496566,-3.342248283,-3.342248283,-3.342248283,0,-6.684496566,-3.342248283,-3.342248283,-10.02674485,-3.342248283,-5.297338197,-3.342248283,0,-7.760460189,0,-6.684496566,-3.342248283,0,0,-6.684496566,0,0,0,0,0,-3.342248283,0,-3.342248283,-6.684496566,-3.342248283,-3.342248283,-14.68021537,0,-6.684496566,-3.342248283,-13.36899313,0,0,-3.342248283,-9.382877168,-5.297338197,0,0,0,-3.342248283,0,0,0,-5.297338197,-3.342248283,0,-14.68021537,-3.342248283,-3.342248283,0,0,0,0,0,-3.342248283,0,-3.342248283,0,-3.342248283,0,-3.342248283,0,0,-3.342248283,-3.342248283,-9.382877168,-3.342248283,-8.63958648,-6.684496566,0,-7.760460189,-3.342248283,-3.342248283,0,-3.342248283,-8.63958648,0,-6.684496566,-9.382877168,0,0,-3.342248283,-7.760460189,0,-3.342248283,0,-3.342248283,0
7,-1.742460885,-1.742460885,-1.742460885,-1.742460885,0,0,0,-1.742460885,0,0,-3.484921769,0,0,0,0,-1.742460885,-3.484921769,0,0,-5.523470322,-4.045868882,-1.742460885,0,0,-2.761735161,-3.484921769,0,0,-3.484921769,0,0,0,-2.761735161,-3.484921769,0,-1.742460885,0,-3.484921769,-2.761735161,0,0,-4.891706141,-1.742460885,0,-1.742460885,0,0,0,0,0,0,-1.742460885,0,0,0,0,0,-6.447871465,-2.761735161,-4.504196046,0,0,0,0,0,0,-1.742460885,-2.761735161,0,0,-1.742460885,0,0,0,-2.761735161,-2.761735161,0,0,-2.761735161,-1.742460885,0,0,0,0,-1.742460885,0,-1.742460885,0,0,0,-7.122244118,0,0,0,-4.504196046,0,0,0,-3.484921769,0,0,0,-1.742460885,0,0,0,0,0,-3.484921769,0,0,0,0,0,0,0,0,-1.742460885,0,0,0,0,-1.742460885,-2.761735161,0,0,-1.742460885,0,0,0,-3.484921769,-2.761735161,0,0,-2.761735161,-3.484921769,0,0,-1.742460885,0,0,-3.484921769,-3.484921769,0,0,-2.761735161,0,0,-1.742460885,0,0,0
8,0,-3.98847267,0,0,-8.359452928,0,-2.516446079,-2.516446079,-3.98847267,-2.516446079,-2.516446079,0,0,0,-2.516446079,-2.516446079,-6.504918749,0,0,-7.549338236,-5.032892158,0,-2.516446079,0,0,-3.98847267,0,0,0,0,0,0,0,-2.516446079,-2.516446079,0,0,-2.516446079,-2.516446079,-2.516446079,0,-5.032892158,0,0,0,-3.98847267,-5.032892158,-3.98847267,-3.98847267,0,-3.98847267,-2.516446079,-5.032892158,-3.98847267,-2.516446079,0,0,-2.516446079,0,0,0,-2.516446079,0,0,-2.516446079,0,-2.516446079,-7.064557285,0,0,0,0,-2.516446079,-2.516446079,-5.84300685,-3.98847267,-2.516446079,0,0,0,0,-3.98847267,-2.516446079,0,-2.516446079,0,0,-2.516446079,0,-3.98847267,-9.581003364,0,-3.98847267,0,-5.032892158,0,0,0,-2.516446079,-2.516446079,-2.516446079,0,0,-2.516446079,-2.516446079,0,0,0,0,0,-3.98847267,0,-7.064557285,-2.516446079,0,0,0,0,0,0,0,0,0,0,-3.98847267,0,-2.516446079,0,0,0,0,-7.97694534,-2.516446079,-3.98847267,0,-3.98847267,-2.516446079,0,0,-2.516446079,0,-5.032892158,-3.98847267,0,0,-3.98847267,-3.98847267,0,0,-2.516446079,-2.516446079,0
9,0,-3.809053485,0,0,0,0,0,0,0,0,-5.097621362,-1.473543034,0,0,0,-1.473543034,-2.335510451,0,0,-5.894172134,-1.473543034,0,0,0,0,0,0,-1.473543034,0,0,-5.097621362,0,0,-2.947086067,0,0,0,0,0,0,-5.097621362,-1.473543034,0,-1.473543034,0,0,-2.335510451,0,0,0,0,0,0,0,0,0,0,0,0,-1.473543034,0,0,0,0,0,-4.420629101,-1.473543034,-1.473543034,0,0,-1.473543034,-1.473543034,-2.947086067,0,-2.335510451,0,0,-1.473543034,0,-1.473543034,0,0,0,0,-1.473543034,-1.473543034,-2.335510451,0,-2.335510451,0,-4.136758288,-1.473543034,-1.473543034,-1.473543034,-1.473543034,0,-1.473543034,0,-2.335510451,0,0,-1.473543034,0,0,0,0,-1.473543034,0,0,0,0,0,-3.421460969,0,-1.473543034,0,0,0,-1.473543034,0,0,-1.473543034,0,0,0,-1.473543034,0,-1.473543034,0,0,0,-5.452757168,0,0,0,0,0,0,0,0,-1.473543034,-2.335510451,-2.335510451,0,0,-2.335510451,0,0,-1.473543034,0,-1.473543034,0
10,0,-1.55240044,-2.460496484,-1.55240044,0,0,0,-2.460496484,0,0,-3.10480088,0,0,-1.55240044,0,0,-3.10480088,0,0,-5.156962637,-4.920992967,-2.460496484,0,-1.55240044,-3.10480088,0,0,-1.55240044,-1.55240044,0,0,0,0,-3.10480088,-3.604562196,0,-1.55240044,0,0,0,0,0,0,0,0,0,-1.55240044,0,0,0,0,0,0,-3.10480088,-2.460496484,-1.55240044,-1.55240044,0,0,-3.10480088,-1.55240044,-1.55240044,0,0,0,0,-1.55240044,-5.156962637,0,0,0,0,0,0,0,-1.55240044,0,0,-3.604562196,0,-1.55240044,0,-1.55240044,0,-1.55240044,0,0,-4.012896924,0,0,-1.55240044,-1.55240044,-1.55240044,0,0,0,0,0,-2.460496484,0,0,0,0,-4.012896924,0,0,0,0,0,0,0,0,0,-1.55240044,0,0,0,0,0,0,-1.55240044,0,0,-3.10480088,0,0,0,0,0,0,-1.55240044,0,0,0,-1.55240044,0,-1.55240044,0,0,0,0,-3.604562196,0,0,0,-3.10480088,-1.55240044,0,-1.55240044,0,-2.460496484,0
